id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
04030726,04,03,07,26,5695,2505,4101,3190,911,1594,100.0,43.98595258999122,72.01053555750659,56.014047410008786,15.996488147497805,27.989464442493418
04030827,04,03,08,27,12360,6526,8081,5834,2247,4279,100.0,52.79935275080906,65.38025889967638,47.20064724919094,18.179611650485437,34.61974110032362
04030828,04,03,08,28,9595,4237,6847,5358,1489,2748,100.0,44.15841584158416,71.36008337675874,55.84158415841585,15.518499218342887,28.639916623241273
04030929,04,03,09,29,6079,2626,4423,3453,970,1656,100.0,43.19789439052475,72.75867741404836,56.80210560947524,15.956571804573121,27.24132258595164
04030930,04,03,09,30,5553,2440,4002,3113,889,1551,100.0,43.940212497748966,72.06915180983252,56.059787502251034,16.009364307581485,27.930848190167477
04030931,04,03,09,31,3791,2136,2320,1655,665,1471,100.0,56.34397256660512,61.19757319968346,43.65602743339488,17.54154576628858,38.80242680031654
04031032,04,03,10,32,15346,6245,11635,9101,2534,3711,100.0,40.694643555323864,75.8178026847387,59.305356444676136,16.512446240062555,24.182197315261305
04041133,04,04,11,33,40,9,34,31,3,6,100.0,22.5,85.0,77.5,7.5,15.0
04041134,04,04,11,34,5277,2072,4088,3205,883,1189,100.0,39.26473375023687,77.46825848019708,60.73526624976312,16.732992230433958,22.531741519802917
04041135,04,04,11,35,2792,953,2256,1839,417,536,100.0,34.13323782234957,80.80229226361033,65.86676217765043,14.935530085959886,19.197707736389685
04041136,04,04,11,36,3045,1004,2477,2041,436,568,100.0,32.97208538587849,81.3464696223317,67.02791461412151,14.318555008210183,18.65353037766831
04041137,04,04,11,37,8149,2990,6501,5159,1342,1648,100.0,36.69161860350963,79.7766597128482,63.30838139649037,16.468278316357836,20.223340287151796
04041238,04,04,12,38,6010,2018,5042,3992,1050,968,100.0,33.577371048252914,83.89351081530782,66.42262895174709,17.470881863560734,16.10648918469218
04041239,04,04,12,39,198,117,103,81,22,95,100.0,59.09090909090909,52.02020202020202,40.909090909090914,11.11111111111111,47.97979797979798
04041240,04,04,12,40,1512,400,1294,1112,182,218,100.0,26.455026455026452,85.58201058201058,73.54497354497354,12.037037037037036,14.417989417989418
04041241,04,04,12,41,7008,1671,6086,5337,749,922,100.0,23.84417808219178,86.84360730593608,76.15582191780823,10.687785388127855,13.156392694063927
04041342,04,04,13,42,4132,1347,3410,2785,625,722,100.0,32.599225556631175,82.52662149080349,67.40077444336883,15.125847047434657,17.473378509196515
04041343,04,04,13,43,3541,1049,3001,2492,509,540,100.0,29.624399887037562,84.750070601525,70.37560011296245,14.374470488562551,15.249929398475008
04041344,04,04,13,44,10703,2841,9005,7862,1143,1698,100.0,26.543959637484814,84.1352891712604,73.45604036251518,10.679248808745212,15.864710828739605
04051445,04,05,14,45,6221,2583,4792,3638,1154,1429,100.0,41.52065584311204,77.02941649252531,58.47934415688796,18.550072335637356,22.970583507474682
04051446,04,05,14,46,10663,4469,8069,6194,1875,2594,100.0,41.911282003188596,75.67288755509706,58.088717996811404,17.584169558285662,24.327112444902934
04051447,04,05,14,47,5272,2115,4002,3157,845,1270,100.0,40.11760242792109,75.91047040971168,59.88239757207891,16.028072837632777,24.089529590288315
04051448,04,05,14,48,9241,4248,6528,4993,1535,2713,100.0,45.9690509685099,70.64170544313386,54.030949031490096,16.610756411643763,29.358294556866138
04051549,04,05,15,49,4678,2027,3352,2651,701,1326,100.0,43.330483112441215,71.65455322787516,56.66951688755879,14.985036340316373,28.345446772124838
04051550,04,05,15,50,5617,2266,4263,3351,912,1354,100.0,40.341819476588924,75.89460566138509,59.658180523411076,16.23642513797401,24.105394338614918
04051551,04,05,15,51,4470,1850,3410,2620,790,1060,100.0,41.387024608501115,76.28635346756153,58.61297539149888,17.67337807606264,23.713646532438478
04051652,04,05,16,52,9755,3719,7434,6036,1398,2321,100.0,38.124038954382364,76.20707329574577,61.875961045617636,14.33111225012814,23.792926704254228
04051653,04,05,16,53,6951,2859,5200,4092,1108,1751,100.0,41.13077255071213,74.80937994533161,58.86922744928788,15.940152496043735,25.190620054668393
04051654,04,05,16,54,3048,1081,2374,1967,407,674,100.0,35.465879265091864,77.88713910761155,64.53412073490814,13.353018372703412,22.11286089238845
04051655,04,05,16,55,7081,2962,5332,4119,1213,1749,100.0,41.830249964694254,75.30009885609377,58.169750035305746,17.130348820788026,24.699901143906228
04051656,04,05,16,56,7608,2394,6202,5214,988,1406,100.0,31.46687697160883,81.51945320715038,68.53312302839116,12.9863301787592,18.48054679284963
04061757,04,06,17,57,78,18,63,60,3,15,100.0,23.076923076923077,80.76923076923077,76.92307692307693,3.8461538461538463,19.230769230769234
05010101,05,01,01,01,10901,3349,8954,7552,1402,1947,100.0,30.721952114484907,82.13925327951564,69.2780478855151,12.86120539400055,17.860746720484357
05010102,05,01,01,02,5999,1401,5155,4598,557,844,100.0,23.353892315385895,85.93098849808301,76.64610768461411,9.284880813468911,14.069011501916986
05010103,05,01,01,03,7716,1326,7096,6390,706,620,100.0,17.1850699844479,91.96474857439088,82.81493001555211,9.149818558838776,8.035251425609125
